lambda,eta,MI_exact,MI_sim
0.002,0.00283789,0.00004151,0.00004153
0.005,0.00709458,0.00022656,0.00022663
0.008,0.01135088,0.00053680,0.00053695
0.01,0.01418808,0.00080671,0.00080693
0.015,0.02127945,0.00168405,0.00168450
0.02,0.02836761,0.00282855,0.00282931
0.03,0.04253002,0.00583982,0.00584138
0.05,0.07076968,0.01438497,0.01438875
0.08,0.11279172,0.03249066,0.03249904
0.1,0.14048787,0.04754243,0.04755455
0.15,0.20817945,0.09373174,0.09375506
0.2,0.27300945,0.14980791,0.14984438
0.3,0.39167473,0.28301513,0.28308120
0.4,0.49361404,0.43360551,0.43370248
