k,t,MI_exact_lam0.05,Pur_exact_lam0.05,S_exact_lam0.05,MI_sim_lam0.05,Pur_sim_lam0.05,S_sim_lam0.05,MI_exact_lam0.1,Pur_exact_lam0.1,S_exact_lam0.1,MI_sim_lam0.1,Pur_sim_lam0.1,S_sim_lam0.1,MI_exact_lam0.2,Pur_exact_lam0.2,S_exact_lam0.2,MI_sim_lam0.2,Pur_sim_lam0.2,S_sim_lam0.2,MI_exact_lam0.4,Pur_exact_lam0.4,S_exact_lam0.4,MI_sim_lam0.4,Pur_sim_lam0.4,S_sim_lam0.4
0,0.000,-0.00000000,1.00000000,-0.00000000,0.00000000,1.00000000,0.00000000,-0.00000000,1.00000000,-0.00000000,0.00000000,1.00000000,0.00000000,-0.00000000,1.00000000,-0.00000000,0.00000000,1.00000000,0.00000000,-0.00000000,1.00000000,-0.00000000,0.00000000,1.00000000,0.00000000
1,0.100,0.00204144,0.99980009,0.00102072,0.00204200,0.99980003,0.00102100,0.00705636,0.99920067,0.00352818,0.00705824,0.99920043,0.00352912,0.02378109,0.99680778,0.01189054,0.02378726,0.99680682,0.01189363,0.07726058,0.98731264,0.03863029,0.07727993,0.98730885,0.03863997
2,0.200,0.00705074,0.99920139,0.00352537,0.00705261,0.99920115,0.00352631,0.02376256,0.99681065,0.01188128,0.02376874,0.99680969,0.01188437,0.07720257,0.98732399,0.03860128,0.07722192,0.98732020,0.03861096,0.23638629,0.95058184,0.11819314,0.23644218,0.95056730,0.11822109
3,0.300,0.01438497,0.99820700,0.00719248,0.01438875,0.99820647,0.00719437,0.04754243,0.99285375,0.02377122,0.04755455,0.99285162,0.02377728,0.14980791,0.97182389,0.07490396,0.14984438,0.97181553,0.07492219,0.43360551,0.89365143,0.21680275,0.43370248,0.89362090,0.21685124
4,0.400,0.02368859,0.99682210,0.01184429,0.02369474,0.99682114,0.01184737,0.07697081,0.98736929,0.03848540,0.07699011,0.98736552,0.03849506,0.23571951,0.95075522,0.11785975,0.23577533,0.95074071,0.11788766,0.64343756,0.82244497,0.32171878,0.64357269,0.82239597,0.32178634
5,0.500,0.03470218,0.99505382,0.01735109,0.03471111,0.99505234,0.01735556,0.11101058,0.98041144,0.05550529,0.11103802,0.98040560,0.05551901,0.33061758,0.92472198,0.16530879,0.33069377,0.92470003,0.16534689,0.84715237,0.74429987,0.42357619,0.84731684,0.74423344,0.42365842
6,0.600,0.04721610,0.99291129,0.02360805,0.04722814,0.99290917,0.02361407,0.14882843,0.97204845,0.07441421,0.14886469,0.97204014,0.07443234,0.43102601,0.89446276,0.21551300,0.43112261,0.89443241,0.21556130,1.03032250,0.66714484,0.51516125,1.03050225,0.66706607,0.51525112
7,0.700,0.06105115,0.99040550,0.03052557,0.06106659,0.99040263,0.03053330,0.18971866,0.96236162,0.09485933,0.18976425,0.96235047,0.09488213,0.53402669,0.86082428,0.26701334,0.53414291,0.86078492,0.26707145,1.18200756,0.59861515,0.59100378,1.18218355,0.59853328,0.59109178
8,0.800,0.07604877,0.98754924,0.03802439,0.07606786,0.98754552,0.03803393,0.23306485,0.95144409,0.11653242,0.23312011,0.95142978,0.11656006,0.63712196,0.82473119,0.31856098,0.63725628,0.82468266,0.31862814,1.29446602,0.54520704,0.64723301,1.29461432,0.54513518,0.64730716
9,0.900,0.09206544,0.98435701,0.04603272,0.09208837,0.98435234,0.04604419,0.27831804,0.93939949,0.13915902,0.27838318,0.93938170,0.13919159,0.73816168,0.78715344,0.36908084,0.73831195,0.78709599,0.36915598,1.36306839,0.51156796,0.68153420,1.36316022,0.51152240,0.68158011
