k,t_C1 (dt=0.2),sz_exact_C1,S_exact_C1,sz_ibm_torino_C1,S_ibm_torino_C1,t_C2 (dt=0.35),sz_exact_C2,S_exact_C2,sz_ibm_torino_C2,S_ibm_torino_C2
0,0.00,1.000000,0.000000,1.005870,0.000000,0.00,1.000000,0.000000,1.003271,0.000000
1,0.20,0.978499,0.006501,0.889162,0.146967,0.35,0.934777,0.017152,0.872763,0.154394
2,0.40,0.915179,0.021538,0.836511,0.173604,0.70,0.749949,0.054786,0.617428,0.214905
3,0.60,0.813508,0.042526,0.691844,0.254007,1.05,0.475949,0.104689,0.450649,0.211928
4,0.80,0.679023,0.068031,0.485177,0.302020,1.40,0.156986,0.162136,0.017219,0.367089
5,1.00,0.518977,0.097005,0.322795,0.310665,1.75,-0.157288,0.223624,-0.224832,0.413469
6,1.20,0.341884,0.128610,0.101858,0.336640,2.10,-0.420906,0.286358,-0.458520,0.434397
7,1.40,0.156986,0.162136,-0.053635,0.364460,2.45,-0.599634,0.348069,-0.561343,0.471772
8,1.60,-0.026310,0.196970,-0.254890,0.383502,2.80,-0.676366,0.406918,-0.562819,0.522066
9,1.80,-0.199007,0.232567,-0.418256,0.401480,3.15,-0.652885,0.461464,-0.561343,0.514437
10,2.00,-0.353040,0.268448,-0.538320,0.414950,3.50,-0.547812,0.510636,-0.425558,0.533852
11,2.20,-0.481733,0.304183,-0.595891,0.458178,3.85,-0.391391,0.553719,-0.273046,0.570795
12,2.40,-0.580152,0.339390,-0.270636,0.490249,4.20,-0.218414,0.590334,-0.275506,0.607003
13,2.60,-0.645332,0.373733,-0.587526,0.503264,4.55,-0.060901,0.620421,-0.129389,0.621263
14,2.80,-0.676366,0.406918,-0.526018,0.517661,4.90,0.057870,0.644208,0.161860,0.632268
15,3.00,-0.674362,0.438691,-0.379382,0.546203,5.25,0.126781,0.662179,0.221881,0.636893
16,3.20,-0.642261,0.468838,-0.272112,0.560671,5.60,0.147217,0.675022,0.222373,0.659484
17,3.40,-0.584545,0.497184,-0.151064,0.578329,5.95,0.130535,0.683577,0.186950,0.670626
18,3.60,-0.506858,0.523590,-0.044286,0.585674,6.30,0.093511,0.688767,0.127913,0.679875
19,3.80,-0.415564,0.547955,0.115635,0.590223,6.65,0.053087,0.691529,0.066417,0.684910
20,4.00,-0.317279,0.570214,0.228810,0.587383,7.00,0.021779,0.692730,0.005412,0.688811
