step,clock_k_fwd,clock_k_rev,sz_fwd,sz_rev,Seff_fwd,Seff_rev,sz_fwd_noenv,sz_rev_noenv
0,0,29,1.000000,0.022520,0.000000,0.692824,1.000000,0.885520
1,1,28,0.976935,0.027945,0.011885,0.692498,0.980067,0.775566
2,2,27,0.909334,0.031323,0.038537,0.691929,0.921061,0.634693
3,3,26,0.801849,0.030767,0.074633,0.690989,0.825336,0.468517
4,4,25,0.661788,0.024174,0.117127,0.689511,0.696707,0.283662
5,5,24,0.498493,0.009467,0.163760,0.687283,0.540302,0.087499
6,6,23,0.322566,-0.015107,0.212716,0.684047,0.362358,-0.112153
7,7,22,0.144997,-0.050650,0.262488,0.679505,0.169967,-0.307333
8,8,21,-0.023707,-0.097305,0.311824,0.673319,-0.029200,-0.490261
9,9,20,-0.174311,-0.154007,0.359684,0.665128,-0.227202,-0.653644
10,10,19,-0.299502,-0.218332,0.405233,0.654551,-0.416147,-0.790968
11,11,18,-0.394335,-0.286482,0.447815,0.641213,-0.588501,-0.896758
12,12,17,-0.456440,-0.353427,0.486953,0.624754,-0.737394,-0.966798
13,13,16,-0.486006,-0.413203,0.522330,0.604856,-0.856889,-0.998295
14,14,15,-0.485523,-0.459361,0.553776,0.581257,-0.942222,-0.989992
15,15,14,-0.459361,-0.485523,0.581257,0.553776,-0.989992,-0.942222
16,16,13,-0.413203,-0.486006,0.604856,0.522330,-0.998295,-0.856889
17,17,12,-0.353427,-0.456440,0.624754,0.486953,-0.966798,-0.737394
18,18,11,-0.286482,-0.394335,0.641213,0.447815,-0.896758,-0.588501
19,19,10,-0.218332,-0.299502,0.654551,0.405233,-0.790968,-0.416147
20,20,9,-0.154007,-0.174311,0.665128,0.359684,-0.653644,-0.227202
21,21,8,-0.097305,-0.023707,0.673319,0.311824,-0.490261,-0.029200
22,22,7,-0.050650,0.144997,0.679505,0.262488,-0.307333,0.169967
23,23,6,-0.015107,0.322566,0.684047,0.212716,-0.112153,0.362358
24,24,5,0.009467,0.498493,0.687283,0.163760,0.087499,0.540302
25,25,4,0.024174,0.661788,0.689511,0.117127,0.283662,0.696707
26,26,3,0.030767,0.801849,0.690989,0.074633,0.468517,0.825336
27,27,2,0.031323,0.909334,0.691929,0.038537,0.634693,0.921061
28,28,1,0.027945,0.976935,0.692498,0.011885,0.775566,0.980067
29,29,0,0.022520,1.000000,0.692824,0.000000,0.885520,1.000000
