k,S_eff_baseline,S_eff_V1_high_entropy,S_eff_V2_unstable,S_eff_V3_no_interaction,S_eff_V4_sigma6,S_eff_V5_wrap10
0,0.000000,0.693147,0.000000,0.000000,0.395109,0.000000
1,0.011885,0.693147,0.003529,0.000000,0.417941,0.011885
2,0.038537,0.693147,0.011894,0.000000,0.441002,0.038537
3,0.074633,0.693147,0.023826,0.000000,0.464019,0.074633
4,0.117127,0.693147,0.038640,0.000000,0.486691,0.117127
5,0.163760,0.693147,0.163760,0.000000,0.508705,0.163760
6,0.212716,0.693147,0.075068,0.000000,0.529761,0.212716
7,0.262488,0.693147,0.095978,0.000000,0.549585,0.262488
8,0.311824,0.693147,0.118304,0.000000,0.567961,0.311824
9,0.359684,0.693147,0.141803,0.000000,0.584738,0.359684
10,0.405233,0.693147,0.405233,0.000000,0.599843,0.000000
11,0.447815,0.693147,0.191459,0.000000,0.613279,0.011885
12,0.486953,0.693147,0.217234,0.000000,0.625113,0.038537
13,0.522330,0.693147,0.243407,0.000000,0.635453,0.074633
14,0.553776,0.693147,0.269819,0.000000,0.644436,0.117127
15,0.581257,0.693147,0.581257,0.000000,0.652200,0.163760
16,0.604856,0.693147,0.322774,0.000000,0.658881,0.212716
17,0.624754,0.693147,0.349045,0.000000,0.664598,0.262488
18,0.641213,0.693147,0.375010,-0.000000,0.669459,0.311824
19,0.654551,0.693147,0.400550,-0.000000,0.673561,0.359684
20,0.665128,0.693147,0.665128,0.000000,0.676993,0.000000
21,0.673319,0.693147,0.449920,0.000000,0.679840,0.011885
22,0.679505,0.693147,0.473547,-0.000000,0.682180,0.038537
23,0.684047,0.693147,0.496342,0.000000,0.684089,0.074633
24,0.687283,0.693147,0.518218,0.000000,0.685637,0.117127
25,0.689511,0.693147,0.689511,0.000000,0.686885,0.163760
26,0.690989,0.693147,0.558892,0.000000,0.687890,0.212716
27,0.691929,0.693147,0.577543,0.000000,0.688697,0.262488
28,0.692498,0.693147,0.594981,0.000000,0.689347,0.311824
29,0.692824,0.693147,0.611144,0.000000,0.689871,0.359684
