step,sz_fwd_Tsym,sz_clockrev_Tsym,sz_Trev_Tsym,S_fwd_Tsym,S_clockrev_Tsym,S_Trev_Tsym,sz_fwd_Tbreak,sz_clockrev_Tbreak,sz_Trev_Tbreak,S_fwd_Tbreak,S_clockrev_Tbreak,S_Trev_Tbreak
0,1.00000000,0.02251995,1.00000000,0.00000000,0.69282377,0.00000000,1.00000000,0.06720331,1.00000000,0.00000000,0.42914910,0.00000000
1,0.97693454,0.02794467,0.97693454,0.01188540,0.69249791,0.01188540,0.97998222,0.07594929,0.97998222,0.00071356,0.44800164,0.00071356
2,0.90933411,0.03132261,0.90933411,0.03853701,0.69192893,0.03853701,0.92123704,0.08101324,0.92123704,0.00281183,0.47021822,0.00281183
3,0.80184933,0.03076686,0.80184933,0.07463286,0.69098944,0.07463286,0.82758228,0.08062134,0.82758228,0.00691406,0.49498140,0.00691406
4,0.66178755,0.02417401,0.66178755,0.11712718,0.68951145,0.11712718,0.70503527,0.07301646,0.70503527,0.01413501,0.52101131,0.01413501
5,0.49849308,0.00946667,0.49849308,0.16376018,0.68728298,0.16376018,0.56132852,0.05668083,0.56132852,0.02590309,0.54663671,0.02590309
6,0.32256633,-0.01510720,0.32256633,0.21271556,0.68404719,0.21271556,0.40529617,0.03057999,0.40529617,0.04373182,0.56991463,0.04373182
7,0.14499691,-0.05064993,0.14499691,0.26248835,0.67950472,0.26248835,0.24618764,-0.00559828,0.24618764,0.06892526,0.58878326,0.06892526
8,-0.02370672,-0.09730508,-0.02370672,0.31182364,0.67331939,0.31182364,0.09297083,-0.05123988,0.09297083,0.10227966,0.60123267,0.10227966
9,-0.17431077,-0.15400719,-0.17431077,0.35968443,0.66512765,0.35968443,-0.04631400,-0.10466541,-0.04631400,0.14385542,0.60547925,0.14385542
10,-0.29950230,-0.21833221,-0.29950230,0.40523259,0.65455125,0.40523259,-0.16509472,-0.16308252,-0.16509472,0.19287081,0.60013086,0.19287081
11,-0.39433457,-0.28648243,-0.39433457,0.44781530,0.64121293,0.44781530,-0.25865961,-0.22264887,-0.25865961,0.24773204,0.58433015,0.24773204
12,-0.45644028,-0.35342713,-0.45644028,0.48695346,0.62475445,0.48695346,-0.32437403,-0.27865461,-0.32437403,0.30618209,0.55786389,0.30618209
13,-0.48600576,-0.41320320,-0.48600576,0.52232982,0.60485609,0.52232982,-0.36171270,-0.32582038,-0.36171270,0.36553139,0.52122624,0.36553139
14,-0.48552342,-0.45936113,-0.48552342,0.55377589,0.58125709,0.55377589,-0.37211576,-0.35869398,-0.37211576,0.42292763,0.47562559,0.42292763
15,-0.45936113,-0.48552342,-0.45936113,0.58125709,0.55377589,0.58125709,-0.35869398,-0.37211576,-0.35869398,0.47562559,0.42292763,0.47562559
16,-0.41320320,-0.48600576,-0.41320320,0.60485609,0.52232982,0.60485609,-0.32582038,-0.36171270,-0.32582038,0.52122624,0.36553139,0.52122624
17,-0.35342713,-0.45644028,-0.35342713,0.62475445,0.48695346,0.62475445,-0.27865461,-0.32437403,-0.27865461,0.55786389,0.30618209,0.55786389
18,-0.28648243,-0.39433457,-0.28648243,0.64121293,0.44781530,0.64121293,-0.22264887,-0.25865961,-0.22264887,0.58433015,0.24773204,0.58433015
19,-0.21833221,-0.29950230,-0.21833221,0.65455125,0.40523259,0.65455125,-0.16308252,-0.16509472,-0.16308252,0.60013086,0.19287081,0.60013086
20,-0.15400719,-0.17431077,-0.15400719,0.66512765,0.35968443,0.66512765,-0.10466541,-0.04631400,-0.10466541,0.60547925,0.14385542,0.60547925
21,-0.09730508,-0.02370672,-0.09730508,0.67331939,0.31182364,0.67331939,-0.05123988,0.09297083,-0.05123988,0.60123267,0.10227966,0.60123267
22,-0.05064993,0.14499691,-0.05064993,0.67950472,0.26248835,0.67950472,-0.00559828,0.24618764,-0.00559828,0.58878326,0.06892526,0.58878326
23,-0.01510720,0.32256633,-0.01510720,0.68404719,0.21271556,0.68404719,0.03057999,0.40529617,0.03057999,0.56991463,0.04373182,0.56991463
24,0.00946667,0.49849308,0.00946667,0.68728298,0.16376018,0.68728298,0.05668083,0.56132852,0.05668083,0.54663671,0.02590309,0.54663671
25,0.02417401,0.66178755,0.02417401,0.68951145,0.11712718,0.68951145,0.07301646,0.70503527,0.07301646,0.52101131,0.01413501,0.52101131
26,0.03076686,0.80184933,0.03076686,0.69098944,0.07463286,0.69098944,0.08062134,0.82758228,0.08062134,0.49498140,0.00691406,0.49498140
27,0.03132261,0.90933411,0.03132261,0.69192893,0.03853701,0.69192893,0.08101324,0.92123704,0.08101324,0.47021822,0.00281183,0.47021822
28,0.02794467,0.97693454,0.02794467,0.69249791,0.01188540,0.69249791,0.07594929,0.97998222,0.07594929,0.44800164,0.00071356,0.44800164
29,0.02251995,1.00000000,0.02251995,0.69282377,0.00000000,0.69282377,0.06720331,1.00000000,0.06720331,0.42914910,0.00000000,0.42914910
