test,parameter,value,S_eff_final,arrow_strength,monotonicity
backreaction,epsilon,0.0000,0.692824,0.9995,1.0000
backreaction,epsilon,0.0500,0.684375,0.9873,0.9655
backreaction,epsilon,0.1000,0.661325,0.9541,0.8966
backreaction,epsilon,0.2000,0.596617,0.8607,0.8276
backreaction,epsilon,0.5000,0.460896,0.6649,0.7586
backreaction,epsilon,1.0000,0.201057,0.2901,0.5862
fuzzy_boundary,theta,0.0000,0.692824,0.9995,1.0000
fuzzy_boundary,theta,0.1000,0.686793,0.9908,1.0000
fuzzy_boundary,theta,0.3000,0.647509,0.9342,0.6552
fuzzy_boundary,theta,0.5000,0.576542,0.8318,0.6552
fuzzy_boundary,theta,0.7854,0.468580,0.6760,0.7241
fuzzy_boundary,theta,1.5708,0.611144,0.8817,1.0000
fuzzy_clock,sigma,0.0000,0.692824,0.9995,1.0000
fuzzy_clock,sigma,0.3000,0.692823,0.9995,1.0000
fuzzy_clock,sigma,0.7000,0.692745,0.9994,1.0000
fuzzy_clock,sigma,1.0000,0.692669,0.9993,1.0000
fuzzy_clock,sigma,2.0000,0.692310,0.9988,1.0000
fuzzy_clock,sigma,4.0000,0.690814,0.9966,1.0000
