scenario,n_env,dim_SE,delta_min,T_max,n_frequencies,S_min_post_therm,F_max_post_therm,t_rec_fidelity
symmetric,1,4,0.20000000,31.42,4,0.000002,0.999995,30.8
symmetric,2,8,0.20000000,31.42,7,0.000004,0.999995,30.8
symmetric,3,16,0.20000000,31.42,8,0.000027,0.999929,30.9
symmetric,4,32,0.20000000,31.42,9,0.000035,0.999926,30.9
symmetric,5,64,0.20000000,31.42,10,0.000043,0.999924,30.9
symmetric,6,128,0.20000000,31.42,11,0.000051,0.999921,30.9
random,1,4,1.00900677,6.23,1,0.025269,0.684395,none
random,2,8,0.30351360,20.70,4,0.001440,0.999628,40.8
random,3,16,0.03809797,164.92,16,0.060535,0.703611,none
random,4,32,0.02030405,309.45,64,0.140777,0.874277,none
random,5,64,0.03158456,198.93,64,0.352728,0.371229,none
random,6,128,0.01563564,401.85,256,0.129853,0.660373,none
