k,sz_conditioned,sz_theory,deviation
0,1.000000,1.000000,0.00e+00
1,0.980067,0.980067,1.11e-16
2,0.921061,0.921061,0.00e+00
3,0.825336,0.825336,1.11e-16
4,0.696707,0.696707,0.00e+00
5,0.540302,0.540302,1.11e-16
6,0.362358,0.362358,1.67e-16
7,0.169967,0.169967,8.33e-17
8,-0.029200,-0.029200,3.43e-16
9,-0.227202,-0.227202,2.22e-16
10,-0.416147,-0.416147,5.55e-17
11,-0.588501,-0.588501,4.44e-16
12,-0.737394,-0.737394,0.00e+00
13,-0.856889,-0.856889,0.00e+00
14,-0.942222,-0.942222,1.11e-16
15,-0.989992,-0.989992,1.11e-16
16,-0.998295,-0.998295,0.00e+00
17,-0.966798,-0.966798,1.11e-16
18,-0.896758,-0.896758,2.22e-16
19,-0.790968,-0.790968,0.00e+00
20,-0.653644,-0.653644,3.33e-16
21,-0.490261,-0.490261,1.11e-16
22,-0.307333,-0.307333,1.11e-16
23,-0.112153,-0.112153,1.53e-16
24,0.087499,0.087499,1.39e-17
25,0.283662,0.283662,5.55e-17
26,0.468517,0.468517,4.44e-16
27,0.634693,0.634693,0.00e+00
28,0.775566,0.775566,3.33e-16
29,0.885520,0.885520,3.33e-16
