k,sz,S_eff,fidelity_sq,sz_theory
0,1.000000,0.000000,1.000000,1.000000
1,0.976935,0.011885,0.998402,0.980067
2,0.909334,0.038537,0.993634,0.921061
3,0.801849,0.074633,0.985772,0.825336
4,0.661788,0.117127,0.974940,0.696707
5,0.498493,0.163760,0.961309,0.540302
6,0.322566,0.212716,0.945094,0.362358
7,0.144997,0.262488,0.926544,0.169967
8,-0.023707,0.311824,0.905944,-0.029200
9,-0.174311,0.359684,0.883603,-0.227202
10,-0.299502,0.405233,0.859852,-0.416147
11,-0.394335,0.447815,0.835033,-0.588501
12,-0.456440,0.486953,0.809496,-0.737394
13,-0.486006,0.522330,0.783587,-0.856889
14,-0.485523,0.553776,0.757648,-0.942222
15,-0.459361,0.581257,0.732002,-0.989992
16,-0.413203,0.604856,0.706955,-0.998295
17,-0.353427,0.624754,0.682782,-0.966798
18,-0.286482,0.641213,0.659732,-0.896758
19,-0.218332,0.654551,0.638016,-0.790968
20,-0.154007,0.665128,0.617807,-0.653644
21,-0.097305,0.673319,0.599238,-0.490261
22,-0.050650,0.679505,0.582402,-0.307333
23,-0.015107,0.684047,0.567351,-0.112153
24,0.009467,0.687283,0.554096,0.087499
25,0.024174,0.689511,0.542611,0.283662
26,0.030767,0.690989,0.532834,0.468517
27,0.031323,0.691929,0.524675,0.634693
28,0.027945,0.692498,0.518016,0.775566
29,0.022520,0.692824,0.512716,0.885520
